"USER_CODE";"USER_NAME";"REG_NO";"START_DATE";"END_DATE";"ADDRESS";"WEARH_ADDRESS";"SALES_PLACE";"LICENCE_TYPE";"DRINKS";"SALE_DAYS";"SALES_START";"SALES_END";"SALE_DAYS_ADDITIONAL";"SALE_START_ADDITIONAL";"SALE_END_ADDITIONAL";"X_KOORD";"Y_KOORD";"WGS_ILGUMA";"WGS_PLATUMA";"STREET_ID";"HOUSE_NR";"SENIUN_NR"
"124355555";"Sauluvos maistas";"004V00";"1999-01-15";;"Pilies g. 11";"";"Kavinė Žaltvykslė";"mažmeninė prekyba alkoholiniais gėrimais";"";"";"";"";"";"";"";"6061568";"583136";"25.289290";"54.683680";"418";"11";"16"
"2465671";"Laukiniai vakarai";"020V00";"1999-02-06";;"Antakalnio g. 66";"";"Kavinė-picerija Laukiniai vakarai";"mažmeninė prekyba alkoholiniais gėrimais";"";"";"";"";"";"";"";"6064344";"584591";"25.312650";"54.708370";"23";"66";"13"
"2427804";"Aruca";"038V00";"1999-03-09";;"Sirvydo g. 6";"";"Kavinė Trečias brolis";"mažmeninė prekyba alkoholiniais gėrimais";"";"";"";"";"";"";"";;;;;;;
"158983613";"Bačkonys";"040V00";"1999-03-17";;"Konarskio g. 49";"";"Kavinė";"mažmeninė prekyba alkoholiniais gėrimais";"";"";"";"";"";"";"";;;;;;;
"122639457";"Restoranų grupė Fortas";"041V00";"1999-03-20";;"Sausio 13-osios g. 2";"";"Kavinė-parduotuvė Maxima";"mažmeninė prekyba alkoholiniais gėrimais";"";"";"";"";"";"";"";"6062506";"578702";"25.220800";"54.692820";"736";"2";"10"
"2161212";"V. Vedrickienės Tautvydė";"007K00";"1998-03-10";;"Naujininkų troleibusų žiede, Dariaus ir Girėnog.";"";"Kioskas";"mažmeninė prekyba alumi ir natūralios fermentacijos sidru kurortinio, poilsio ir turizmo sezonų metu < 8,5 proc";"";"I-VII";"00:00";"24:00:00";"";"";"";;;;;;;
"2159273";"Žanos Rynkevič";"065V00";"1998-04-01";;"Lentvario g. 14";"";"Kavinė";"mažmeninė prekyba alkoholiniais gėrimais";"";"";"";"";"";"";"";"6057057";"573895";"25.144870";"54.644590";"284";"14";"20"
"2367896";"R. Kacėnienės";"022K00";"1998-04-21";;"Savanorių pr. 191";"";"Kioskas";"mažmeninė prekyba alumi ir natūralios fermentacijos sidru kurortinio, poilsio ir turizmo sezonų metu < 8,5 proc";"";"";"";"";"";"";"";"6057219";"577888";"25.206770";"54.645450";"487";"191";"18"
"120916941";"Lauvita";"042V00";"1998-03-23";;"A. Goštauto g. 12a";"";"Kavinė";"mažmeninė prekyba alkoholiniais gėrimais";"";"";"";"";"";"";"";"6062650";"581563";"25.265210";"54.693650";"154";"12";"17"
"2253049";"I. Šliukovo";"024K00";"1998-04-28";;"Liepkalnio g. 1, Vilnius";"Paviljonas Nr. 3 prie namo Erfurto g. 21, Kioskas Nr. 47 prie Policijos nuovados Buivydiškių g.";"Paviljonas";"mažmeninė prekyba alumi ir natūralios fermentacijos sidru kurortinio, poilsio ir turizmo sezonų metu < 8,5 proc";"";"";"";"";"";"";"";"6060143";"583343";"25.292090";"54.670840";"286";"1";"15"
